Row,Hole,Start Point Longitude (deg),Start Point Latitude (deg)
1,1,-77.317809246,39.550660236
1,2,-77.317820684,39.550646063
1,3,-77.317829524,39.550630637
2,1,-77.317987934,39.550497277
2,2,-77.318014335,39.550475050
2,3,-77.318040737,39.550452823
3,1,-77.318081939,39.550437170
3,2,-77.318103894,39.550397710
